<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TCH,20200410,19.7,20.7,19.5,20,416590
TCL,20200410,16,16.9,16,16.9,58320
TCM,20200410,15,15.5,14.6,15,522910
TCO,20200410,10.25,10.25,10.25,10.25,20
TCR,20200410,3.19,3.19,3.19,3.19,10
TCT,20200410,32.1,32.6,32.1,32.2,2260
TDC,20200410,7.3,7.3,7.05,7.1,63730
TDG,20200410,1.73,1.85,1.73,1.8,366570
TDH,20200410,6.74,6.98,6.71,6.95,915480
TDM,20200410,17.95,18,17.75,18,95830
TDW,20200410,21.6,21.9,20.2,21.9,70
TEG,20200410,2.91,3,2.9,2.9,15720
TGG,20200410,0.77,0.84,0.77,0.81,226180
THG,20200410,42.5,42.75,41.9,42.4,4390
SJD,20200410,16.3,16.3,16.25,16.3,27010
SJF,20200410,1.26,1.3,1.25,1.29,199820
SJS,20200410,16.45,17.1,16,17.1,143730
SKG,20200410,8.66,8.84,8.45,8.82,503630
SMB,20200410,29.2,29.35,29,29.2,9230
SMC,20200410,10.6,11.8,10.6,10.95,3960
SPM,20200410,11.2,11.2,11.2,11.2,100
SRC,20200410,16.4,17,15.7,15.7,6400
SRF,20200410,13.9,13.9,13.9,13.9,120
SSC,20200410,53,53,52.3,53,110
SSI,20200410,13.3,13.6,13,13.3,3233820
STB,20200410,9.15,9.23,8.95,9.01,10709980
RDP,20200410,6.9,6.9,6.9,6.9,2500
REE,20200410,29.85,31.1,29.8,30.35,1022970
RIC,20200410,3.79,3.9,3.79,3.8,1500
ROS,20200410,4.56,4.57,3.99,4.1,82343110
S4A,20200410,29.1,29.1,27.2,27.2,1020
SAB,20200410,144.2,146.9,140,141,33310
SAM,20200410,9.01,9.24,8.92,9.24,85210
SAV,20200410,8.3,8.3,8.1,8.3,15050
SBA,20200410,13.55,13.9,13.55,13.8,2200
SBT,20200410,13.65,13.8,13.4,13.5,1438610
SBV,20200410,8.93,9.2,8.93,9.2,12010
SC5,20200410,18.95,18.95,18.95,18.95,220
SCD,20200410,24.2,24.2,24.2,24.2,10
SCR,20200410,4.15,4.2,4.02,4.08,1612410
SCS,20200410,106,106.9,105,105.4,25050
SFC,20200410,20.8,20.8,20.2,20.7,50
SFG,20200410,4.84,5.17,4.84,5.14,25320
SFI,20200410,19.7,19.75,17.35,19.75,1640
SGN,20200410,66,68,66,67,12300
SGT,20200410,3.84,3.94,3.84,3.94,3440
SHA,20200410,3.93,3.93,3.85,3.85,5380
SHI,20200410,8.8,8.8,8.6,8.76,98290
SHP,20200410,22.05,22.5,22.05,22.5,1710
NBB,20200410,17.15,18.8,17.15,18.8,80230
NCT,20200410,54.2,54.2,52.8,53,73460
NHH,20200410,39.65,39.85,38,39,261870
