<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HMC,20200715,13,13.8,13,13.15,5910
HNG,20200715,14.9,15.4,14.4,14.4,1024070
HOT,20200715,42.35,48.6,42.35,48.6,50
HPG,20200715,28.2,28.4,28.05,28.05,6561150
HPX,20200715,27.15,27.5,26.6,27.15,464560
HQC,20200715,1.93,1.93,1.83,1.83,23182570
HRC,20200715,35.4,39.9,35.4,39.9,40
HSG,20200715,11.85,12,11.7,11.7,5772180
HSL,20200715,4.98,4.98,4.86,4.9,58420
HT1,20200715,14,14,13.8,13.85,138060
HTI,20200715,13.8,13.8,13.1,13.3,35540
HTL,20200715,12.85,13.6,12.85,13.6,500
HTN,20200715,19.35,19.85,19.35,19.7,150100
HTV,20200715,12.9,12.9,12.9,12.9,1010
DVP,20200715,35.5,36,34.5,35.5,5530
DXG,20200715,11.5,11.65,11.4,11.4,1689550
DXV,20200715,2.35,2.35,2.16,2.3,3850
EIB,20200715,17,17.3,16.95,17.3,204760
ELC,20200715,5.67,5.69,5.64,5.67,177000
EVE,20200715,9.85,9.89,9.6,9.84,38410
EVG,20200715,4,4.05,3.86,4,883290
FCM,20200715,6.67,6.69,6.46,6.55,8980
FCN,20200715,11,11,10.65,10.65,631470
FDC,20200715,11.55,12.3,11.55,12.3,3990
FIR,20200715,29.9,30.25,29.9,30.1,80640
FIT,20200715,10.4,10.4,10.4,10.4,240080
FLC,20200715,3.43,3.49,3.4,3.4,4965720
FMC,20200715,27.3,27.7,27.2,27.6,112260
